Enzyme	Molecular-Weight-KiloDaltons	Names
EG10967-MONOMER	25.343	trmH // spoU // b3651 // ECK3641
EG11022-MONOMER	41.967 // 42.0	trmA // rT // rumT // b3965 // ECK3957
EG10211-MONOMER	53.465	dcm // mec // b1961 // ECK1959
THYMIDYLATESYN-CPLX	64.0	thyA // b2827 // ECK2823
G7199-MONOMER	74.434 // 79.0	mnmC // yfcK // trmC // b2324 // ECK2318
EG10668-MONOMER	19.179 // 19.0	ogt // b1335 // ECK1331
PD00230	39.324 // 39.0	ada // b2213 // ECK2205
DHHB-METHYLTRANSFER-MONOMER	26.555	ubiG // pufX // yfaB // b2232 // ECK2224
EG11498-MONOMER	33.397	yhdJ // ccrM // b3262 // ECK3249
EG10204-MONOMER	32.1 // 31.0	dam // b3387 // ECK3374
EG10689-MONOMER	23.258 // 24.0	pcm // b2743 // ECK2738
CFA-CPLX	90.0	cfa // cdfA // b1661 // ECK1657
CHER-MONOMER	32.849	cheR // cheX // b1884 // ECK1885
GLYOHMETRANS-CPLX	96.0	glyA // b2551 // ECK2548
3-METHYL-2-OXOBUT-OHCH3XFER-CPLX	255.0	panB // b0134 // ECK0133
CPLX0-7718		arnA // SAF // yfbG // pmrI // b2255 // ECK2248
GART-MONOMER	23.238 // 25.0	purN // ade(c) // ade // b2500 // ECK2496
AICARTRANSIMPCYCLO-CPLX	57.329	purH // b4006 // ECK3998
EG11268-MONOMER	34.168 // 32.0	fmt // ftm // yhdD // b3288 // ECK3274
ACETYL-COA-CARBOXYLTRANSFER-CPLX	130.0	accA // b0185 // ECK0184 // accD // dedB // usg // b2316 // ECK2310
ASPCARBTRANS-CPLX	300.0	pyrB // b4245 // ECK4240 // pyrI // b4244 // ECK4239
ORNCARBAMTRANSFERF-CPLX		argF // b0273 // ECK0274
ORNCARBAMTRANSFERI-CPLX		argI // b4254 // ECK4247
CPLX0-8045	83.0	moeA // bisB // chlE // narE // b0827 // ECK0817
TRANSKETOI-CPLX	145.0	tktA // tkt // b2935 // ECK2930
CPLX0-1261		tktB // b2465 // ECK2460
TRANSALDOLB-CPLX	70.0	talB // yaaK // b0008 // ECK0008
TRANSALDOLA-MONOMER	35.659	talA // b2464 // ECK2459
ACETOLACTSYNIII-CPLX	155.0	ilvI // b0077 // ECK0079 // ilvH // brnP // b0078 // ECK0080
ACETOLACTSYNII-CPLX		ilvG // ilvO // b3767 // b3768 // b4488 // ECK3760 // ilvM // b3769 // ECK3761
ACETOLACTSYNI-CPLX	130.0	ilvB // b3671 // ECK3662 // ilvN // b3670 // ECK3661
CPLX0-743	117.0	dxs // yajP // b0420 // ECK0414
CPLX0-7525	130.0	menD // b2264 // ECK2258
EG10853-MONOMER	20.681 // 20.3	rimL // b1427 // ECK1420
YDCS-MONOMER	42.295	ydcS // b1440 // ECK1434
EG11207-MONOMER	16.447	yjaB // b4012 // ECK4004
KETOBUTFORMLY-MONOMER	85.93544	tdcE // yhaS // b3114 // ECK3103
CPLX0-8189		patZ // yfiQ // pka // b2584 // ECK2582
EG12270-MONOMER	17.104	yiaC // b3550 // ECK3537
N-ACETYLTRANSFER-CPLX		argA // Arg2 // Arg1 // b2818 // ECK2814
CPLX0-7962	36.0	mnaT // yncA // b1448 // ECK1442
ARGSUCCTRAN-MONOMER	38.456	astA // ydjV // b1747 // ECK1745
CPLX0-3181	72.0	dapD // ssa // b0166 // ECK0164
UDPNACETYLGLUCOSAMACYLTRANS-CPLX	90.0	lpxA // b0181 // ECK0180
GLYCEROL-3-P-ACYLTRANSFER-MONOMER	91.381 // 83.0	plsB // b4041 // ECK4033
G7213-MONOMER	46.531 // 46.5	fadI // yfcY // b2342 // ECK2336
FADA-MONOMER	40.876 // 42.0	fadA // oldA // b3845 // ECK3837
ACETYL-COA-ACETYLTRANSFER-CPLX	166.0	atoB // b2224 // ECK2217
3-OXOACYL-ACP-SYNTHII-CPLX	85.0	fabF // vtr // cvc // fabJ // vtrB // b1095 // ECK1081
GALACTOACETYLTRAN-CPLX		lacA // b0342 // ECK0339
CPLX0-252		fabH // b1091 // ECK1077
EG11591-MONOMER	23.883 // 24.0 // 25.0	lipB // cde // lip // b0630 // ECK0623
CPLX0-8016	108.0	lpxD // omsA // firA // b0179 // ECK0178
G7297-MONOMER	74.892	tmcA // ypfI // b2474 // ECK2470
TDPFUCACTRANS-MONOMER	24.22	rffC // rff // wecD // yifH // b3790 // ECK3782
G6718-MONOMER	42.277 // 43.0	paaJ // ydbW // b1397 // ECK1394
G6991-MONOMER	25.181 // 27.0	tsaB // yeaZ // b1807 // ECK1805
CPLX0-8182		tsaE // yjeE // b4168 // ECK4164 // tsaD // gcp // ygjD // b3064 // ECK3054 // tsaB // yeaZ // b1807 // ECK1805
LAUROYLACYLTRAN-MONOMER	35.407	lpxL // htrB // waaM // b1054 // ECK1039
PALMITOTRANS-MONOMER	35.493	lpxP // ddg // b2378 // ECK2374
MYRISTOYLACYLTRAN-MONOMER	37.41	lpxM // mlt // waaN // msbB // b1855 // ECK1856
CPLX0-7820		lsrF // yneB // b1517 // ECK1510
EG12180-MONOMER	21.77	pagP // ybeG // crcA // b0622 // ECK0615
EG10850-MONOMER	16.61	rimI // b4373 // ECK4364
EG10851-MONOMER	22.688	rimJ // tcp // b1066 // ECK1051
EG10168-MONOMER	57.066	lnt // cutE // b0657 // ECK0649
EG11437-MONOMER	38.214	plsX // b1090 // ECK1076
EG10724-MONOMER	16.57	phnO // b4093 // ECK4086
CPLX0-8550		cobB // ycfY // b1120 // ECK1106
AKBLIG-CPLX	85.0	kbl // b3617 // ECK3607
CPLX0-237		cysE // b3607 // ECK3597
MALONYL-COA-ACP-TRANSACYL-MONOMER	32.417 // 32.0	fabD // tfpA // b1092 // ECK1078
AAS-MONOMER	80.7	aas // b2836 // ECK2832
FABB-CPLX	80.0	fabB // fabC // b2323 // ECK2317
HOMSUCTRAN-CPLX	86.0	metA // b4013 // ECK4005
7KAPSYN-CPLX		bioF // b0776 // ECK0765
CPLX0-236		nhoA // yddI // b1463 // ECK1457
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	27.453 // 25.0	plsC // parF // b3018 // ECK3009
EG11833-MONOMER	36.289	yihG // b3862 // ECK3854
PYRUVFORMLY-CPLX	170.0	pflB // pfl // b0903 // ECK0894
SPERMACTRAN-CPLX	95.0	speG // b1584 // ECK1579
MALTACETYLTRAN-CPLX	47.0	maa // ylaD // b0459 // ECK0453
CPLX0-7912		eutD // ypfA // eutI // b2458 // ECK2453
PHOSACETYLTRANS-CPLX	484.0	pta // b2297 // ECK2291
EG11112-MONOMER	26.618	aat // ycaA // b0885 // ECK0876
HYDGLUTSYN-MONOMER		
2-ISOPROPYLMALATESYN-MONOMER	57.298	leuA // b0074 // ECK0076
CITRATE-SI-SYNTHASE	230.0	gltA // gluT // icdB // b0720 // ECK0709
CPLX0-251	110.0	prpC // yzzD // yahS // b0333 // ECK0330
MALATE-SYNTHASE	60.274	aceB // mas // b4014 // ECK4006
MALSYNG-MONOMER	80.488 // 82.0	glcB // glc // b2976 // ECK2970
EG11341-MONOMER	38.731	waaQ // rfaQ // b3632 // ECK3622
EG11189-MONOMER	35.544 // 36.0	waaC // rfa-2 // rfaC // yibC // b3621 // ECK3611
EG11423-MONOMER	41.729	waaU // rfaK // b3623 // ECK3613
EG11362-MONOMER	34.868	gluQ // yadB // b0144 // ECK0143
G7221-MONOMER	51.484	yfdI // gtrS // gtrIV // b2352 // ECK2346
EG11339-MONOMER	42.284	waaG // rfaG // b3631 // ECK3621
G7102-MONOMER	45.26	wcaC // b2057 // ECK2051
CPLX0-7994		pgaD // hmsS // ycdP // b1021 // ECK1011 // pgaC // hmsR // ycdQ // b1022 // ECK1012
EG11983-MONOMER	37.757	wbbI // yefG // b2034 // ECK2028
EG12210-MONOMER	39.042	waaF // rfaF // b3620 // ECK3610
EG11790-MONOMER	44.914	wcaI // yefD // b2050 // ECK2044
GLYCOPHOSPHORYL-CPLX	200.0	glgP // glgY // b3428 // ECK3414
MALDEXPHOSPHORYL-CPLX	162.0	malP // malA // blu // b3417 // ECK3404
CPLX0-8125		bcsB // yhjN // b3532 // ECK3517 // bcsA // yhjP // yhjO // b3533 // ECK3518
CPLX0-3951		mrcB // pbpF // ponB // b0149 // ECK0148
G7322-MONOMER	85.067	pbpC // yfgN // b2519 // ECK2515
CPLX0-7717		mrcA // ponA // b3396 // ECK3383
G7668-MONOMER	27.342 // 27.0	mtgA // mgt // yrbM // b3208 // ECK3197
TREHALOSE6PSYN-MONOMER	53.611	otsA // b1896 // ECK1895
EG11266-MONOMER	40.524	waaH // yibD // b3615 // ECK3605
GLYCOGEN-BRANCH-MONOMER	84.337 // 85.0	glgB // b3432 // ECK3418
UDPMANACATRANS-MONOMER	27.928	rffM // rff // wecG // b3794 // ECK3787
CPLX0-7415	78.9	lpxB // pgsB // b0182 // ECK0181
GLYCOGENSYN-MONOMER	52.822	glgA // b3429 // ECK3415
NACGLCTRANS-MONOMER	37.815 // 37.0	murG // b0090 // ECK0091
G6654-MONOMER	84.867	ycjT // b1316 // ECK1311
AMYLOMALT-MONOMER	78.503 // 71.0	malQ // malA // b3416 // ECK3403
G7800-MONOMER	40.64 // 41.5	wecF // yifM // b4404 // rff // rffT // b4405 // b4481 // ECK3785
G6647-MONOMER	64.186	ycjM // ggaP // b1309 // ECK1304
EG11351-MONOMER	40.826	waaB // lps // syn // rfaB // b3628 // ECK3618
EG11353-MONOMER	39.04	waaJ // rfaJ // waaR // b3626 // ECK3616
EG11352-MONOMER	39.423	waaO // waaI // rfaI // b3627 // ECK3617
G7220-MONOMER	34.635	yfdH // gtrB // b2351 // ECK2345
XANTHOSINEPHOSPHORY-CPLX	205.0	xapA // pndA // b2407 // ECK2401
OROPRIBTRANS-CPLX	47.0	pyrE // b3642 // ECK3632
PRPPAMIDOTRANS-CPLX		purF // ade(ub) // ade // purC // b2312 // ECK2306
EG12159-MONOMER	10.234	ppnP // yaiE // b0391 // ECK0386
DEOD-CPLX	150.0	deoD // pup // b4384 // ECK4376
CPLX0-7614	67.0	hisG // b2019 // ECK2014
ANTHRANSYNCOMPII-MONOMER	56.87	trpD // trpGD // b1263 // ECK1257
ANTHRANSYN-CPLX		trpE // anth // tryD // tryp-4 // b1264 // ECK1258 // trpD // trpGD // b1263 // ECK1257
QUINOPRIBOTRANS-CPLX	70.0	nadC // b0109 // ECK0108
DEOA-CPLX	90.0	deoA // TP // tpp // ttg // b4382 // ECK4374
URPHOS-CPLX	165.0	udp // b3831 // ECK3825
DMBPPRIBOSYLTRANS-CPLX		cobT // b1991 // ECK1986
CPLX0-1101		tgt // vacC(S.f.) // b0406 // ECK0400
G7170-MONOMER	62.543	arnT // yfbI // pmrK // b2257 // ECK2250
G6339-MONOMER	31.644	citG // ybdT // b0613 // ECK0606
G7167-MONOMER	36.339	arnC // pmrF // yfbF // b2254 // ECK2247
ADENPRIBOSYLTRAN-CPLX	40.0	apt // b0469 // ECK0463
GPT-CPLX	65.0	gpt // glyD // gpp // gxu // b0238 // ECK0239
CPLX0-7685	79.0	hpt // b0125 // ECK0124
URACIL-PRIBOSYLTRANS-CPLX	75.0	upp // uraP // b2498 // ECK2494
KDOTRANS-MONOMER	47.291 // 43.0	waaA // kdtA // b3633 // ECK3623
EG11426-MONOMER	32.92	waaZ // rfaZ // b3624 // ECK3614
EG10812-MONOMER	39.431 // 39.0	queA // tsaA // b0405 // ECK0399
FPPSYN-MONOMER	32.16 // 36.0	ispA // b0421 // ECK0415
UBIX-MONOMER	20.695 // 21.0	ubiX // dedF // b2311 // ECK2305
HEMEOSYN-MONOMER	32.248	cyoE // b0428 // ECK0422
EG12128-MONOMER	33.108 // 25.0	lgt // umpA // b2828 // ECK2824
H2PTEROATESYNTH-CPLX	52.0	folP // dhpS // b3177 // ECK3166
SPERMIDINESYN-CPLX		speE // b0121 // ECK0120
COBALADENOSYLTRANS-MONOMER	21.999 // 22.0	btuR // cobA // b1270 // ECK1264
G7193-MONOMER	24.326	yfcF // b2301 // ECK2295
GST-CPLX	40.0	gstA // gst // b1635 // ECK1631
AROA-MONOMER	46.096 // 49.0	aroA // b0908 // ECK0899
G7349-MONOMER	25.995	tapT // yfiP // tuaA // b2583 // ECK2581
THIE-MONOMER	23.015 // 23.0	thiE // thiA // b3993 // ECK3985
UPPSYN-CPLX		uppS // ispU // rth // yaeS // b0174 // ECK0173
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER	32.512 // 32.0	ubiA // cyr // b4040 // ECK4032
ACSERLYB-CPLX	64.0	cysM // b2421 // ECK2416
ACSERLYA-CPLX	61.0	cysK // ssi5 // b2414 // ECK2409
O-SUCCHOMOSERLYASE-CPLX	160.0	metB // met-1 // b3939 // ECK3931
AROG-CPLX	140.0	aroG // b0754 // ECK0743
AROF-CPLX	66.0	aroF // b2601 // ECK2598
AROH-CPLX	69.0	aroH // b1704 // ECK1702
KDO-8PSYNTH-CPLX		kdsA // b1215 // ECK1203
S-ADENMETSYN-CPLX	180.0	metK // metX // b2942 // ECK2937
OHMETHYLBILANESYN-MONOMER	33.852 // 32.0	hemC // popE // b3805 // ECK3799
UDPNACETYLGLUCOSAMENOLPYRTRANS-MONOMER	44.818 // 44.0	murA // mrbA // murZ // b3189 // ECK3178
CPLX0-7719	80.0	nadA // nicA // b0750 // ECK0739
DMK-MONOMER	33.594	menA // yiiW // b3930 // ECK3922
EG10595-MONOMER	35.065 // 33.5	miaA // trpX // b4171 // ECK4167
LUMAZINESYN-CPLX	977.0	ribE // nusIII // ribH // ybaF // b0415 // ECK0409
CPLX0-3952	70.0	ribC // ribE // b1662 // ECK1658
CPLX0-7426		ispB // cel // yhbD // b3187 // ECK3176
CPLX0-8159		patA // oat // pat // ygjG // b3073 // ECK3063
ASPAMINOTRANS-DIMER		aspC // b0928 // ECK0919
BRANCHED-CHAINAMINOTRANSFER-CPLX	182.0	ilvE // b3770 // ECK3762
ACETYLORNTRANSAM-CPLX		argD // Arg1 // dapC // dtu // b3359 // ECK3347
L-GLN-FRUCT-6-P-AMINOTRANS-CPLX	127.0	glmS // b3729 // ECK3722
GABATRANSAM-CPLX	90.0	gabT // b2662 // ECK2656
G6646-MONOMER	44.729	puuE // goaG // b1302 // ECK1297
MONOMER0-1241		alaB
CPLX0-7888	87.0	alaA // yfbQ // b2290 // ECK2284
CPLX0-7887	87.0	alaC // yfdZ // b2379 // ECK2375
PYROXALTRANSAM-MONOMER		
PSERTRANSAM-CPLX	79.0	serC // pdxC // pdxF // b0907 // ECK0898
TYRB-DIMER	88.0	tyrB // b4054 // ECK4046
CPLX0-7990		wecE // rff // fcnA // rffA // yifI // b3791 // ECK3783
DAPASYN-CPLX	94.0	bioA // b0774 // ECK0763
VALINE-PYRUVATE-AMINOTRANSFER-MONOMER	46.711	avtA // b3572 // ECK3561
SUCCORNTRANSAM-CPLX		astC // ydjW // argM // cstC // b1748 // ECK1746
PABASYN-CPLX		pabB // b1812 // ECK1810 // pabA // b3360 // ECK3348
CPLX0-8561		ybdL // b0600 // ECK0594
HISTPHOSTRANS-CPLX	80.0	hisC // b2021 // ECK2016
G7166-MONOMER	42.238	arnB // pmrH // yfbE // b2253 // ECK2246
CPLX0-321		pdxJ // b2564 // ECK2562
EG11340-MONOMER	30.872 // 33.0	waaP // rfaP // b3630 // ECK3620
EG11425-MONOMER	27.461	waaY // rfaY // b3625 // ECK3615
G7123-MONOMER	32.039	yegS // b2086 // ECK2082
GLUCOKIN-MONOMER	34.723 // 35.0	glk // b2388 // ECK2384
DIACYLGLYKIN-CPLX		dgkA // b4042 // ECK4034
6PFK-2-CPX	71.0	pfkB // b1723 // ECK1721
6PFK-1-CPX	142.0	pfkA // b3916 // ECK3908
GLUCONOKINII-CPLX	38.0	gntK // b3437 // ECK3422
GLUCONOKINI-MONOMER	21.004	idnK // gntV // b4268 // ECK4261
CPLX0-2081		dhaK // ycgT // dhaK1 // b1200 // ECK1188 // dhaL // ysgS // ycgS // dhaK2 // b1199 // ECK1187 // dhaM // ycgC // dhaH // ptsD // b1198 // ECK1186
TETRAACYLDISACC4KIN-MONOMER	35.589	lpxK // ycaH // b0915 // ECK0906
CPLX0-8261	82.0	tdk // b1238 // ECK1233
CPLX0-3841		ispE // ipk // ychB // b1208 // ECK1196
CPLX0-7647	62.0	rbsK // b3752 // ECK3746
RIBULOKIN-CPLX	98.0	araB // b0063 // ECK0064
GKI-MONOMER	39.104	garK // yhaD // b3124 // ECK3112
GLY3KIN-MONOMER	38.734	glxK // glxB5 // ybbZ // b0514 // ECK0507
CPLX0-3661		hldE // yqiF // rfaE // gmhC // waaE // b3052 // ECK3042
CPLX0-7466	110.0	xylB // b3564 // ECK3553
G6880-MONOMER	39.496	anmK // ydhH // b1640 // ECK1636
DEHYDDEOXGALACTKIN-MONOMER	31.374	dgoK // yidV // b3693 // ECK3686
DEOXYGLUCONOKIN-MONOMER	33.962	kdgK // yhjI // b3526 // ECK3511
EG12073-MONOMER	38.549	ftp // yojK // yojL // apbE // b2214 // ECK2206
EG11848-MONOMER	31.728	yihV // squV // b3883 // ECK3876
G6798-MONOMER	57.545	lsrK // ydeV // b1511 // ECK1504
G7726-MONOMER	28.332 // 28.0	frlD // yhfQ // b3374 // ECK3361
CPLX0-682	180.0	nadK // yfjE // yfjB // b2615 // ECK2611
EG12312-MONOMER	22.622 // 22.2	coaE // yacE // b0103 // ECK0103
ADENYLYLSULFKIN-CPLX	40.0	cysC // b2750 // ECK2745
RIBF-MONOMER	34.734 // 35.0	ribF // yaaC // b0025 // ECK0026
GLYCEROL-KIN-CPLX	217.0	glpK // b3926 // ECK3918
PANTOTHENATE-KIN-CPLX	69.0	coaA // panK // rts // ts-9 // b3974 // ECK3966
CPLX0-8031		pdxY // ydgS // b1636 // ECK1632
PDXK-CPLX		pdxK // yfeI // thiJ // pdxL // b2418 // ECK2413
HOMOSERKIN-CPLX	60.0	thrB // b0003 // ECK0003
PKI-COMPLEX	240.0	pykF // b1676 // ECK1672
PKII-CPLX	190.0	pykA // b1854 // ECK1855
UDK-MONOMER	24.353	udk // b2066 // ECK2060
HMP-P-KIN-CPLX		thiD // thiN // thiA // thiJ // b2103 // ECK2096
RHAMNULOKIN-MONOMER	54.069 // 52.0	rhaB // b3904 // ECK3897
CPLX0-8211		thiM // b2104 // ECK2097
FUCULOKIN-MONOMER	52.259	fucK // b2803 // ECK2798
LYXK-CPLX	110.0	lyxK // lyx // xylK // sgbK // yiaP // b3580 // ECK3569
EG11956-MONOMER	33.821	alsK // yjcT // b4084 // ECK4077
1-PFK	57.0	fruK // fpk // b2168 // ECK2161
G6576-MONOMER	33.043 // 34.0	nagK // ycfX // b1119 // ECK1105
GALACTOKIN-MONOMER	41.442 // 40.0	galK // galA // b0757 // ECK0746
NANK-MONOMER	29.644	nanK // yhcI // b3222 // ECK3211
EG11288-MONOMER	32.5	mak // yajF // b0394 // ECK0389
AROK-MONOMER	19.538 // 20.0	aroK // b3390 // ECK3377
AROL-MONOMER	19.151 // 21.4	aroL // b0388 // ECK0383
CPLX0-322	85.0	gsk // b0477 // ECK0471
EG11646-MONOMER	33.573	psuK // yeiC // pscK // b2166 // ECK2159
THIKIN-MONOMER	32.397	thiK // ycfN // b1106 // ECK1092
EG11826-MONOMER	81.242	etk // yccC // b0981 // ECK0972
G7105-MONOMER	79.343 // 80.0	wzc // b2060 // ECK2054
EG10443-MONOMER	49.276 // 50.0	hipA // b1507 // ECK1500
CPLX0-230	135.0	aceK // b4016 // ECK4008
G6969-MONOMER	74.48	yeaG // b1783 // ECK1781
EG11831-MONOMER	38.12 // 39.0	srkA // orfA // yihE // b3859 // ECK3851
CPLX0-8288		cusS // ybcZ // b0570 // ECK0562
CPLX0-8270		cpxA // rssE // ecfB // eup // ssd // ecf // b3911 // ECK3904
PHOR-CPLX		phoR // R1pho // phoR1 // nmpB // b0400 // ECK0394
CPLX0-8275		glrK // yfhZ // yfhK // qseE // b2556 // ECK2553
GLNL-CPLX	68.0	glnL // glnR // ntrB // b3869 // ECK3862
CREC-CPLX		creC // phoM // b4399 // ECK4391
CPLX0-8168		phoQ // b1129 // ECK1115
CPLX0-8302		barA // airS // b2786 // ECK2780
TORS-CPLX		torS // yccI // b0993 // ECK0984
RCSC-MONOMER	106.506	rcsC // b2218 // ECK2211
NARX-CPLX		narX // frdR // narR // frd1 // b1222 // ECK1216
UHPB-MONOMER	56.306	uhpB // b3668 // ECK3659
BAES-MONOMER	51.991	baeS // b2078 // ECK2074
EG12007-MONOMER	62.092	btsS // yehU // b2126 // ECK2118
RSTB-MONOMER	49.283	rstB // uspT // b1609 // ECK1604
EG12658-MONOMER	50.282	qseC // ygiY // b3026 // ECK3017
G7056-MONOMER	50.85	hprS // yedV // b1968 // ECK1964
ARCB-CPLX		arcB // b3210 // ECK3200
CPLX0-8307		dcuS // yjdH // b4125 // ECK4118
HYDH-MONOMER	51.032	zraS // hydH // b4003 // ECK3995
BASS-MONOMER	41.029	basS // pmrB // dgkR // b4112 // ECK4105
ENVZ-CPLX		envZ // tpo // perA // ompB // b3404 // ECK3391
CPLX0-7870		atoS // b2219 // ECK2212
G6345-MONOMER	61.684	dpiB // ybeP // mpdB // citA // b0619 // ECK0612
G7243-MONOMER	62.657	pyrS // ypdA // b2380 // ECK2376
CPLX0-8314		evgS // b2370 // ECK2366
KDPD-CPLX		kdpD // kac // b0695 // ECK0683
NARQ-CPLX		narQ // b2469 // ECK2464
CPLX0-8548		ydjH // b1772 // ECK1770
GLUTKIN-CPLX	236.0	proB // pro(2) // pro2 // b0242 // ECK0243
ACETATEKINA-MONOMER	43.29	ackA // b2296 // ECK2290
PGK	41.118 // 43.7	pgk // b2926 // ECK2922
ASPKINIII-CPLX	105.0	lysC // apk // b4024 // ECK4016
ASPKINIIHOMOSERDEHYDROGII-CPLX	176.0	metL // metM // b3940 // ECK3932
ASPKINIHOMOSERDEHYDROGI-CPLX	80.0	thrA // thrA2 // Hs // thrA1 // thrD // b0002 // ECK0002
PROPKIN-MONOMER	43.384	tdcD // yhaA // b3115 // ECK3104
ACETYLGLUTKIN-CPLX		argB // b3959 // ECK3950
CPLX0-7938		ptsI // ctr // b2416 // ECK2411
PPK-CPLX	270.0	ppk // b2501 // ECK2497
CPLX0-8260	48.0	tmk // ycfG // b1098 // ECK1084
CMPKI-MONOMER	24.746 // 24.6	cmk // ycaF // mssA // ycaG // b0910 // ECK0901
THI-P-KIN-MONOMER	35.071	thiL // thiJ // b0417 // ECK0411
UMPKI-CPLX	156.0	pyrH // umk // smbA // b0171 // ECK0170
EG10723-MONOMER	20.73 // 23.5	phnN // b4094 // ECK4087
G7146-MONOMER	26.759	lpxT // yeiU // b2174 // ECK2168
ADENYL-KIN-MONOMER	23.586 // 27.0	adk // dnaW // plsA // b0474 // ECK0468
NUCLEOSIDE-DIP-KIN-CPLX	64.0	ndk // b2518 // ECK2514
GUANYL-KIN-CPLX	43.0	gmk // spoR // b3648 // ECK3638
CPLX0-8299		prs // dnaR // prsA // b1207 // ECK1195
H2PTERIDINEPYROPHOSPHOKIN-MONOMER	18.079 // 23.0	folK // b0142 // ECK0141
RELA-MONOMER	83.876 // 84.0	relA // RC // b2784 // ECK2778
ENTMULTI-CPLX		entB // entG // b0595 // ECK0588 // entD // b0583 // ECK0575 // entF // b0586 // ECK0579 // entE // b0594 // ECK0587
MONOMER0-4233	44.281	insI3 // tra8-3 // b4284 // ECK0258
G7750-MONOMER	35.903	rtcA // yhgJ // yhgK // b3420 // b3419 // b4475 // ECK3406
G6725-MONOMER	44.281	insI2 // tra8-2 // b1404 // ECK0258
MONOMER0-2838		
G6131-MONOMER	44.267	insI1 // tra8-1 // b0256 // ECK0258
CPLX0-7975	180.0	nadR // nadI // b4390 // ECK4382
EG10239-MONOMER	65.565	dnaG // dnaP // parB // sdgA // b3066 // ECK3056
GALACTURIDYLYLTRANS-CPLX		galT // galB // b0758 // ECK0747
MANNPGUANYLTRANGDP-MONOMER	53.016	cpsB // rfbM // manC // mni // b2049 // ECK2043
NICONUCADENYLYLTRAN-MONOMER	24.528	nadD // ybeN // fusB // b0639 // ECK0632
EG10690-MONOMER	53.871	pcnB // b0143 // ECK0142
NAG1P-URIDYLTRANS-CPLX		glmU // yieA // b3730 // ECK3723
CPLX0-8012	120.0	rffH // yifG // b3789 // ECK3781
CPLX0-8034		rfbA // rmlA // som // b2039 // ECK2033
GLUC1PADENYLTRANS-CPLX	185.0	glgC // b3430 // ECK3416
COADTRI-CPLX	108.0	coaD // yicA // kdtB // b3634 // ECK3624
CPM-KDOSYNTH-MONOMER	27.614 // 32.0	kdsB // b0918 // ECK0909
SULFATE-ADENYLYLTRANS-CPLX		cysD // b2752 // ECK2747 // cysN // b2751 // ECK2746
CDPDIGLYSYN-MONOMER	31.454 // 27.0	cdsA // cds // b0175 // ECK0174
GLNE-MONOMER	108.418	glnE // b3053 // ECK3043
EG10863-MONOMER	24.425	rph // b3643 // ECK3633
GLND-MONOMER	102.39 // 95.0	glnD // glnD5 // b0167 // ECK0165
APORNAP-CPLX		rpoA // pez // phs // sez // b3295 // ECK3282 // rpoC // tabB // b3988 // ECK3979 // rpoB // sdgB // tabD // stv // stl // ftsR // groN // nitB // rif // ron // b3987 // ECK3978
CPLX0-234	50.0	ispD // ygbP // b2747 // ECK2742
G6340-MONOMER	20.27 // 20.0	citX // ybdU // b0614 // ECK0607
COBU-CPLX		cobU // b1993 // ECK1988
CPLX0-8205	168.0	galU // ychD // b1236 // ECK1231
CPLX0-8090		dgcM // ydaM // b1341 // ECK1338
CPLX0-7802		dgcZ // ydeG // ydeH // b1535 // ECK1528
G6980-MONOMER	38.546	dgcP // yeaP // b1794 // ECK1792
EG12880-MONOMER	45.989	dgcN // yfiN // b2604 // ECK2601
G6532-MONOMER	51.783	dgcT // ycdT // b1025 // ECK1015
CPLX0-8556		dgcC // yaiC // adrA // b0385 // ECK0380
CPLX0-8535		dgcE // yegE // b2067 // ECK2061
CPLX0-8218		dosC // yddV // dgcO // b1490 // ECK1484
G6115-MONOMER	39.516	dinB // dinP // b0231 // ECK0232
EG10238-MONOMER	129.904	dnaE // sdgC // polC // b0184 // ECK0183
CPLX0-3925	70.0	umuC // uvm // b1184 // ECK1172 // umuD // b1183 // ECK1171
EG10136-MONOMER	46.467 // 47.0	cca // b3056 // ECK3046
CPLX0-8558		thiF // thiA // b3992 // ECK3984
CPLX0-8163	59.675	mog // yaaG // bisD // chlG // mogA // b0009 // ECK0009
G7496-MONOMER	21.514	mocA // ygfJ // b2877 // ECK2873
EG11829-MONOMER	21.643 // 22.0	mobA // chlB // mob // narB // b3857 // ECK3849
CPLX0-8164	52.0	moeB // chlN // b0826 // ECK0816
G7698-MONOMER	20.768	tsaC // yrdC // rimN // b3282 // ECK3269
G6406-MONOMER	47.634 // 48.0	clsB // ybhO // b0789 // ECK0778
CARDIOLIPSYN-MONOMER	54.822 // 46.0	clsA // yciJ // nov // cls // b1249 // ECK1243
EG12265-MONOMER	62.032	bcsG // yhjU // b3538 // ECK3523
PHOSNACMURPENTATRANS-MONOMER	39.875	mraY // murX // b0087 // ECK0088
PGLYCEROLTRANSI-MONOMER	85.494	opgB // yjjO // mdoB // b4359 // ECK4349
COBS-MONOMER	26.386	cobS // b1992 // ECK1987
G7098-MONOMER	52.408	wcaJ // b2047 // ECK2041
CPLX0-8011	83.0	rfe // wecA // b3784 // ECK3776
CPLX0-7958		phnL // b4096 // ECK4089 // phnH // b4100 // ECK4093 // phnG // b4101 // ECK4094 // phnI // b4099 // ECK4092
EG12267-MONOMER	63.804	eptB // yhjW // b3546 // ECK3533
PHOSPHAGLYPSYN-MONOMER	20.701	pgsA // b1912 // ECK1911
